sent_id,annot_id,lang,source,target,reference,bleu,ucca_node_count,ucca_H,mteval_A,mteval_B,mteval_O,mteval_R,mteval_G,mteval_M
449,pl1,pl,There are seven main risk factors for developing a cardiovascular disease .,Istnieje siedem głównych czynników ryzyka rozwoju choroby układu krążenia .,Istnieje siedem głównych czynników ryzyka rozwoju chorób układu krążenia .,0.701688,16,1,5,0,0,0,10,1
441,pl1,pl,"Therefore , your GP will need to take several readings over a set period of time , usually every month , to see whether your blood pressure level is consistently high .","Zatem , twój lekarz będzie musiała wziąć kilka czytań przez określony okres czasu , zazwyczaj w każdym miesiącu , aby sprawdzić , czy poziom ciśnienia krwi jest stale wysoki .","W związku z tym lekarz będzie musiał wykonać kilka pomiarów w określonych okresach czasu , zwykle co miesiąc , aby sprawdzić , czy ciśnienie tętnicze krwi utrzymuje się na wysokim poziomie .",0.18584,43,1,13,3,2,5,19,1
73,pl1,pl,"Remember to clean your glasses regularly , and to put them on your distance glasses if you get up in the night .","Pamiętasz oczyścić swoje okulary regularnie i umieścić je na odległość , okulary , jeśli musisz wstać w nocy .",Pamiętaj o czyszczeniu okularów a przy wstawaniu w nocy zakładaj okulary dla dalekowidzów .,0.0962994,30,2,0,0,0,0,0,30
433,pl1,pl,"While the specific cause of primary high blood pressure remains unknown , there is compelling evidence to suggest that a number of risk factors increase your chances of developing the condition .","Podczas gdy szczególne przyczyny pierwotnego nadciśnienia tętniczego pozostaje nieznany jest przekonujących dowodów sugerujących , że szereg czynników ryzyka zwiększyć swoje szanse rozwoju choroby .","Przyczyna występowania pierwotnego nadciśnienia tętniczego pozostaje nieznana , istnieje , jednak , niepodważalny dowód wskazujący na to , że parę czynników ryzyka zwiększa szansę pojawienia się choroby .",0.167187,42,2,7,5,2,9,15,4
753,pl1,pl,Two review authors independently extracted the data from eligible studies and assessed their risk of bias .,Dwaj autorzy przeglądu niezależnie ekstrakcji danych z badań kwalifikowanych i oceniono ich ryzyko stronniczości .,Dwóch autorów przeglądu niezależnie wyekstrahowało dane z odpowiednich badań i dokonało oceny ryzyka błędu systematycznego .,0.125172,24,2,4,2,2,3,10,3
417,pl1,pl,Symptoms can occur in rare cases where a person has a very high blood pressure level so it is good to be aware of these .,"Objawy mogą wystąpić w rzadkich przypadkach , gdy dana osoba ma bardzo wysokie ciśnienie krwi , poziom tak dobrze być świadomi tych .","Objawy mogą wystąpić w rzadkich przypadkach , w których dana osoba ma bardzo wysokie ciśnienie krwi , więc dobrze jest zdawać sobie z tego sprawę .",0.515054,35,2,6,3,3,2,17,4
409,pl1,pl,"In 90 - 95 % of cases , there is no single identifiable reason for a rise in blood pressure .","W 90 @-@ 95 % przypadków , nie istnieje jedna możliwa przyczyna wzrostu ciśnienia krwi .","W 90 @-@ 95 % przypadków , nie można wskazać jednej , określonej przyczyny podwyższonego ciśnienia krwi .",0.497304,26,1,6,1,0,2,13,4
401,pl1,pl,"Therefore , if your GP says that your blood pressure is ' 120 over 80 ' , or 120 / 80mmHg , they mean that you have a systolic pressure of 120mmHg and a diastolic pressure of 80mmHg .","Dlatego , jeżeli twój lekarz mówi , że ciśnienie tętnicze krwi jest &quot; 120 / 80 &quot; lub 120 / 80mmHg , to znaczy , że masz ciśnienia skurczowego i rozkurczowego ciśnienia 120mmHg 80mmHg .","W związku z tym , kiedy lekarz określa nasze ciśnienie jako „ 120 na 80 &quot; lub 120 / 80 mmHg , oznacza to , że nasze ciśnienie skurczowe jest równe 120 mmHg a rozkurczowe 80 mmHg .",0.170416,43,2,8,6,4,4,21,0
393,pl1,pl,"It pumps blood that is low in oxygen towards the lungs , through the venous &apos; pipeline &apos; ( veins ) , where it receives a fresh supply of oxygen .","To pompy tlenu w krwi jest niskie w stosunku do płuc , za pośrednictwem żyły ( żylnej &quot; rurociągu &quot; ) , gdzie otrzymuje świeże dostawy tlenu .","Krew o niskiej zawartości tlenu pompowana jest w kierunku płuc żylnymi „ rurociągami &quot; ( żyłami ) , gdzie otrzymuje nową dostawę tlenu .",0.161731,36,2,4,6,3,8,15,0
577,pl1,pl,We obtained all references of identified studies and contacted authors where necessary .,"Uzyskaliśmy wszystkie odniesienia zidentyfikowanych w badaniach i skontaktować się z autorów , tam gdzie jest to konieczne .",Pozyskaliśmy wszystkie odniesienia do znalezionych badań i w razie potrzeby skontaktowaliśmy się z ich autorami .,0.126737,18,2,3,3,3,3,6,0
385,pl1,pl,"Clots in the general circulation can block arteries in the brain , causing a stroke .","Zakrzepy w krążeniu ogólnym mogą blokować tętnic w mózgu , powodując udar .","Zakrzepy w ogólnym krwiobiegu mogą blokować tętnice w mózgu , powodując udar .",0.531697,22,2,6,0,1,1,11,3
377,pl1,pl,"This procedure commonly takes two to three hours , so it may be done under general anaesthetic , where you are put to sleep .","Niniejsza procedura zwyczajowo trwa dwie do trzech godzin , więc mogą być wykonane w znieczuleniu ogólnym , gdzie jesteś uśpić .","Zabieg ten zwykle trwa 2 do 3 godzin , więc może być przeprowadzany w znieczuleniu ogólnym , w którym to pacjent zostaje uśpiony .",0.207471,34,3,9,3,2,6,14,0
745,pl1,pl,What is the effectiveness and safety of vitrification in comparison to slow freezing as a method of preserving oocytes ( eggs ) in subfertile women undergoing assisted reproduction ?,Co to jest skuteczność i bezpieczeństwo stosowania procesów zeszkliwiania w porównaniu do powolnej zamrożenie jako metody konserwowania komórek jajowych ( jaja ) w subfertile kobiet poddawanych wspomaganej reprodukcji ?,"Jaka jest skuteczność i bezpieczeństwo witryfikacji w porównaniu do powolnego zamrażania komórek jako metody przechowywania oocytów ( komórek jajowych ) u kobiet z niepłodnością względną , które zdecydowały się na wspomagany rozród ?",0.173046,42,1,13,1,2,8,16,2
369,pl1,pl,The heart is given a controlled electric shock to try to restore a normal rhythm .,"Serce jest podawany kontrolowanym wstrząsu , aby spróbować przywrócić normalny rytm .",Serce dostaje kontrolowany wstrząs elektryczny celem przywrócenia normalnego rytmu .,0.114988,23,1,6,1,3,2,9,2
361,pl1,pl,"If these get into the bloodstream , they can cause a stroke ( our complications of atrial fibrillation section has more information on this ) .","Jeśli te się do krwiobiegu , mogą powodować udar ( nasze powikłania migotania przedsionków sekcja ma więcej informacji na ten temat ) .","Jeżeli przedostaną się one do krwiobiegu , mogą prowadzić do udaru mózgu ( nasza sekcja dotycząca powikłań przy migotaniu przedsionków zawiera więcej informacji na ten temat ) .",0.335184,35,3,9,3,4,3,14,2
657,pl1,pl,"This review set out to find out whether treatment with ultrasound , in a variety of forms , accelerates fracture healing and reduces complications associated with new ( acute ) fractures .","Przegląd ten określone , aby dowiedzieć się , czy leczenie za pomocą ultradźwięków , w różnych formach , przyspiesza gojenia złamania i zmniejsza powikłań związanych z nowymi złamaniami ( ostre ) .","Celem niniejszego przeglądu jest sprawdzenie , czy różne formy leczenia ultradźwiękami przyspiesza gojenie się złamań i obniża ryzyko powikłań w postaci nowych ( ostrych ) złamań .",0.0687969,38,1,13,1,2,1,21,0
353,pl1,pl,"If a cause is found , treatment for this may be enough .","Jeśli przyczyny stwierdzono , leczenie tego może być wystarczające .","Jeśli przyczyna jest znana , leczenie jej może być wystarczające .",0.377522,18,2,4,1,0,2,7,4
345,pl1,pl,This will confirm the diagnosis of atrial fibrillation and rule out other conditions .,Pozwoli to potwierdzić diagnozę migotania przedsionków i inne warunki .,Potwierdzi to diagnozę migotania przedsionków i wykluczy inne choroby .,0.394588,19,2,6,1,0,2,10,0
337,pl1,pl,"If your GP thinks you have atrial fibrillation after assessing your symptoms , you will be asked to have an electrocardiogram ( ECG ) and referred to a heart specialist , known as a cardiologist .","Jeśli GP uważa , że masz migotania przedsionków po ocenie objawów , będziecie mieli elektrokardiogramu ( EKG ) i , o których mowa kardiologiem , znany jako kardiologiem .","Jeśli lekarz rodzinny , po ocenie objawów , uważa , że jest to migotanie przedsionków , zostaniemy skierowani na elektrokardiogram ( EKG ) , a następnie do specjalisty od serca , zwanego kardiologiem .",0.184835,48,3,10,4,3,11,12,8
329,pl1,pl,NHS Fife have created the folowing video which guides you on how to take your pulse .,"NHS Fife stworzyły folowing wideo , który prowadzi was jak puls .","NHS Fife stworzył następujące nagranie wideo , które objaśnia jak zmierzyć puls .",0.191191,23,1,4,3,2,4,8,2
737,pl1,pl,There was no difference in shoulder mobility or self - reported shoulder disability at 12 months follow - up ( one study ) .,Nie było różnicy w ramieniu mobilności lub zgłaszane ramię niepełnosprawności po 12 miesiącach obserwacji ( jedno badanie ) .,Po dwunastu miesiącach obserwacji nie stwierdzono żadnej różnicy w ruchliwości lub subiektywnie ocenionej niepełnosprawności barku ( na podstawie jednego badania ) .,0.116296,28,1,8,2,1,2,15,0
321,pl1,pl,This is because when the atria in the heart do not contract properly there is a risk of blood clot formation .,"Jest tak dlatego , że kiedy z w sercu prawidłowo umowy nie istnieje ryzyko powstawania zakrzepów krwi .","Wynika to z tego , że kiedy przedsionki w sercu nie kurczą się odpowiednio , zachodzi ryzyko tworzenia się zakrzepów krwi .",0.175774,32,1,4,6,0,3,15,4
313,pl1,pl,The atria contract randomly and sometimes so fast that the heart muscle cannot relax properly between contractions .,"W przedsionków losowo i czasami tak szybko , że mięsień sercowy nie mogą się odpowiednio między skurczami .","Przedsionki kurczą się losowo i czasami tak szybko , że mięsień sercowy nie jest w stanie odpowiednio się rozluźnić między skurczami .",0.510433,25,1,4,4,2,4,11,0
137,pl1,pl,Use this plan to record what physical activities and strength and balance exercises you &apos;ll do each week and how often .,Stosowanie tego planu co do rejestrowania aktywności fizycznej i siłę i równowagę ćwiczenia zrobisz każdego tygodnia i jak często .,Używaj tego planu celem odnotowania jaką aktywność fizyczną i jakie ćwiczenia na siłę i równowagę wykonasz w danym tygodniu i z jaką częstotliwością .,0.125775,34,1,5,6,4,5,7,7
305,pl1,pl,"A normal heart rate , when you are resting , should be between 60 and 100 beats a minute .","Normalny rytm serca , kiedy jesteś spoczynku , należy od 60 do 100 uderzeń na minutę .",Normalna częstość pracy serca w spoczynku powinna wynosić 60 i 100 uderzeń na minutę .,0.29283,24,1,5,1,0,5,8,5
777,pl1,pl,Trauma - induced coagulopathy ( TIC ) is a disorder of the blood clotting process that can occur soon after trauma injury that can lead to the patient bleeding to death .,"Wywołany urazem koagulopatią ( TIC ) to zaburzenie w procesie krzepnięcia krwi , które mogą wystąpić wkrótce po urazie szkody , które mogą prowadzić do krwawienia do śmierci pacjenta .","Koagulopatia wywołana urazem ( trauma @-@ induced coagulopathy ( TIC ) ) jest zaburzeniem krzepnięcia krwi , do którego może dojść w niedługim czasie po doznaniu urazu i które może doprowadzić do śmierci z wykrwawienia .",0.112583,43,1,7,6,6,6,14,4
297,pl1,pl,"If you need to look down , do this with your eyes and not your head .","Jeśli musicie spojrzeć na dół , czy to z oczami i nie głowy .","Jeśli musisz popatrzeć w dół , zrób to samymi oczami a nie głową .",0.14866,24,2,3,4,4,3,6,4
561,pl1,pl,Two review authors assessed the studies independently and extracted outcome data .,Dwaj autorzy przeglądu ocenione w badaniach niezależnie i wyekstrahowane zastosowaniu danych .,Dwóch autorów przeglądu niezależnie oceniło badania i wyodrębniło dane końcowe .,0.130651,17,2,2,4,3,2,6,0
289,pl1,pl,"Keep it clean and in good working order , and check the rubber stoppers or wheels for wear .","To utrzymać w czystości i w dobrym stanie , i sprawdzić gumowych korków lub kół do noszenia .","Utrzymuj go w czystości i w dobrym stanie , a także sprawdzaj gumowe stopery i kółka .",0.38762,25,2,4,3,5,3,10,0
281,pl1,pl,"If you &apos;d prefer to use a smartphone , or tablet , to manage your medication , Care 4 Today is a health management app that &apos;s been reviewed by clinicians to ensure that it &apos;s safe .","Jeśli wolisz używać smartfon , lub tabletki , zarządzać leki , Care 4 Today is a zdrowiem aplikacji , które zostały poddane przeglądowi przez klinicystów , aby zapewnić , że jest to bezpieczne .","Jeśli wolisz korzystać ze smartfonu lub tableta w celu zarządzania swoimi lekami , Care 4 Today jest aplikacją zarządzania , która została poddana przeglądowi lekarzy w celu upewnienia się , że jest ona bezpieczna .",0.153463,51,1,9,7,6,11,12,6
729,pl1,pl,"When assessing whether early or late shoulder exercises reduced the likelihood of developing lymphoedema , the studies did not provide a clear result .","Oceniając wcześniejsze lub późniejsze ramię ćwiczenia zmniejszał prawdopodobieństwo wystąpienia , obrzęki w badaniach nie dostarczyły jasnego rezultatu .","Badania , w których próbowano ocenić , czy wcześnie bądź późno podjęte ćwiczenia ramion zmniejszały prawdopodobieństwo wystąpienia obrzęków limfatycznych , nie przyniosły jednoznacznych wyników .",0.0776227,33,2,3,7,3,4,14,2
273,pl1,pl,"Check the instructions , or your planner , to make sure you &apos;re taking it properly .","Kontrola instrukcji , albo planner , aby upewnić się , że bierzesz to odpowiednio .","Sprawdzić ulotkę albo swój plan , aby upewnić się , że przyjmujemy je we właściwy sposób .",0.34704,23,1,0,0,0,0,0,23
793,pl1,pl,Participants were adult trauma patients in both military and civilian settings .,Uczestnicy byli dorosłych pacjentów z urazami w obu ustawieniach wojskowych i cywilnych .,Uczestnikami byli dorośli pacjenci po urazach doznanych w wypadkach wojskowych i cywilnych .,0.289178,16,1,2,3,2,2,7,0
265,pl1,pl,A plan will help you develop a routine and identify times when you &apos;re at an increased risk of a fall .,"Plan pomoże rozwinąć rutynowe i określić czas , kiedy jesteś na zwiększone ryzyko upadku .","Plan pomoże wypracować ci rutynę i rozpoznać sytuacje , w których jesteś bardziej narażony na upadek .",0.121075,34,1,9,0,0,7,10,8
641,pl1,pl,"There were no significant differences in mortality , retransplantation , graft rejections requiring retransplantation or medical treatment , or fibrosis worsening between the groups in any of the comparisons in which these outcomes were reported .","Nie było znaczących różnic w umieralności , retransplantation , odrzucenie przeszczepu wymagające retransplantation lub leczenia , lub zwłóknienie nasilenie pomiędzy grupami w którymkolwiek z porównania , w jakim wyniki te zostały zgłoszone .","Nie wykazano istotnych różnic pod względem umieralności , retransplantacji , odrzucenia przeszczepu wymagającego retransplantacji lub leczenia , zwłóknienia lub pogorszenia stanu zdrowia pomiędzy grupami w jakimkolwiek porównaniu , w którym podano wyniki .",0.135752,45,1,13,2,1,4,22,3
257,pl1,pl,Moving from sitting to standing is a core exercise that &apos;ll help to improve your strength and balance .,"Z siedzącej na stojącą jest podstawowym ćwiczeń , który pomoże poprawić swoją siłę i równowagę .",Zmienianie pozycji z siedzącej na stojącą jest głównym ćwiczeniem pomagającym poprawić siłę i równowagę .,0.368214,30,1,7,3,4,2,10,4
249,pl1,pl,Try to keep the weight on your big toe and second toe .,Spróbuj zatrzymać na twój kciuk i drugi palec .,Postaraj się utrzymać ciężar ciała na dużym i drugim palcu .,0.134399,22,1,4,3,0,4,5,6
553,pl1,pl,"The abnormal cells of KS form purple , red , or brown patches , plaques or tumors on the skin .","W nieprawidłowych komórek KS postaci fioletowe , czerwone lub brązowe cętki , stwardnienie lub guzów na skórze .","Nieprawidłowe komórki mięsaka tworzą na skórze bordowe , czerwone lub brązowe plamy , stwardnienia lub guzki .",0.238304,26,1,5,3,3,3,9,3
241,pl1,pl,Repeat up to 8 times .,Powtarzać aż do 8 razy .,Powtórz to do 8 razy .,0.614788,8,1,2,0,1,2,2,1
233,pl1,pl,Progress to doing about 10 of these steps .,Postęp do około 10 z tych kroków .,Przejdź do wykonania około 10 takich kroków .,0.277762,14,1,2,4,0,2,6,0
721,pl1,pl,"The secondary outcomes were mortality rate , length of hospital stay , scar assessment , and adverse events : hyperglycaemia and septicaemia .","Wtórne wyniki były śmiertelności , długość pobytu w szpitalu , blizna oceny , i działania niepożądane : Hiperglikemia i posocznica .","Drugorzędnymi punktami końcowymi był współczynnik umieralności , długość pobytu w szpitalu , ocena blizn i działania niepożądane : hiperglikemia i posocznica .",0.412675,29,1,7,2,4,3,10,3
225,pl1,pl,"When practising heel - toe standing , make sure that you hold on to a chair or counter to start with .","Kiedy praktykujących pięta @-@ palce stałego , upewnić się , że pan zaczekać do krzesła lub przeciwdziałanie .","Podczas ćwiczeń stawania z pięt na palce , należy upewnić się , że podpieramy się krzesła lub blatu .",0.225426,27,1,1,7,2,11,4,2
217,pl1,pl,Hold on to a chair or counter to make sure your balance is good .,"Trzymaj się do krzesła lub przeciwdziałanie , aby upewnić się , że saldo jest dobrze .","Przytrzymaj się krzesła lub blatu , aby upewnić się , że twoja równowaga jest stabilna .",0.414124,22,1,6,2,0,5,7,2
121,pl1,pl,"If you don &apos;t usually exercise , any physical activity you can do is better than none at all .","Jeśli nie zazwyczaj wykonują , żadnej aktywności fizycznej , jest lepszy niż żaden .","Jeśli zwykle nie ćwiczymy , jakakolwiek aktywność fizyczna jest lepsza niż jej brak w ogóle .",0.104808,26,2,3,5,5,5,6,2
209,pl1,pl,"As you repeat these , you &apos;ll find that your leg muscles start to get quite warm and perhaps a little bit tense .","Jak pan powtarzania tych , znajdziecie to nogę mięśnie się ciepło i być może trochę spięta .","Powtarzając to ćwiczenie , zauważysz , że mięśnie nóg się rozgrzewają i być może stają trochę napięte .",0.159407,33,1,1,8,6,9,4,5
201,pl1,pl,It &apos;s normal to wobble as you practice toe raises .,Jest to normalne przestaje działać w praktyce podnosi palca .,"To normalne , że możesz się chwiać przy unoszeniu palców stóp .",0.114219,16,1,1,4,1,5,3,2
193,pl1,pl,Hold it for a count of 4 or 5 seconds .,Trzymaj policzyć do dnia 4 lub 5 sekund .,Wytrzymaj w tej pozycji 4 - 5 sekund .,0.277762,16,1,1,4,0,2,5,4
185,pl1,pl,Knee strengthening exercises will help you to maintain strength in the muscle at the front of your leg .,Kolano wzmocnienie ćwiczenia pomaga utrzymać wytrzymałość mięśni pod nogami .,Ćwiczenia wzmacniające staw kolanowy pomagają utrzymać siłę mięśni w przedniej części nogi .,0.111057,28,1,3,4,3,5,6,7
713,pl1,pl,This breaking down of tissues into smaller molecules to release energy is called catabolism .,Tym rozpadu tkanek do mniejszych cząsteczek w celu wyzwolenia energii jest nazywany katabolizmu .,"Proces , w którym tkanki rozpadają się na mniejsze cząsteczki w celu uwolnienia energii nosi nazwę katabolizmu .",0.115053,22,1,6,0,4,0,10,2
177,pl1,pl,"After this time you &apos;ll notice the difference , you &apos;ll see your balance and strength improving , and feel ready to join a group or class to build on these exercises .","Po tym czasie zauważysz różnicę , zobaczysz równowagę sił i poprawy i gotowy do grupy lub klasy budować na te ćwiczenia .","Po tym czasie zauważysz różnicę , zobaczysz poprawę równowagi i wytrzymałości i poczujesz się gotowy do zajęć grupowych , aby zwiększyć intensywność ćwiczeń .",0.317839,46,3,6,7,7,4,13,9
681,pl1,pl,"Adverse effects directly associated with LIPUS and associated devices were found to be few and minor , and compliance with treatment was generally good .",Działania niepożądane bezpośrednio związane z LIPUS i związanych z nimi urządzeń były nieliczne i niewielkie i przestrzegania leczenia była ogólnie dobrze .,"Działania niepożądane bezpośrednio związane z ultradźwiękami LIPUS i narzędziami ultrasonograficznymi były nieliczne i nieistotne , a stopień przestrzegania zasad leczenia ogólnie dobry .",0.289886,38,2,11,0,4,2,16,5
113,pl1,pl,NHS Choices has information that can help if you &apos;re over 60 and under weight ( external link ),"NHS wybory posiada informacje , które mogą pomóc , jeśli jesteś ponad 60 i na podstawie masy ciała ( połączenie zewnętrznych )","NHS Choices dostarcza informacji , które mogą pomóc jeżeli masz ponad 60 lat i niedowagę ( link zewnętrzny ) .",0.198508,25,1,3,4,1,8,9,0
161,pl1,pl,Make sure you &apos;re wearing comfortable flat shoes and you &apos;re exercising in a nice clear area .,"Upewnić się , że nosisz wygodne płaskie buty i ćwiczeń w miłym oczyścić obszar .","Upewnij się , że masz na sobie wygodne , płaskie obuwie i ćwiczysz w przyjemnym , jasnym miejscu .",0.14362,28,2,4,5,2,4,9,4
153,pl1,pl,This video explains how regular exercise can help to prevent falls .,To wyjaśnia jak regularne ćwiczenia mogą pomóc w celu zapobiegania upadkom .,"To nagranie wideo wyjaśnia , jak regularne wykonywanie ćwiczeń może pomóc w zapobieganiu upadkom .",0.166676,19,1,6,2,0,3,7,1
25,pl1,pl,"If you &apos;ve been diagnosed with osteoporosis , it &apos;s a good idea to talk to a physiotherapist or exercise specialist before starting a new exercise programme , to make sure it &apos;s right for you .","Jeśli u pacjenta z osteoporozą , to dobry pomysł , aby porozmawiać fizjoterapeuty lub wykonywania specjalistycznych przed rozpoczęciem nowego programu ćwiczeń , aby upewnić się , że to w porządku .","Jeżeli została u ciebie zdiagnozowana osteoporoza , dobrze jest skonsultować się z fizjoterapeutą lub specjalistą od ćwiczeń przed rozpoczęciem programu ćwiczeniowego , w celu upewnienia się , że jest on dla nas odpowiedni .",0.0985733,52,2,6,10,2,13,15,6
145,pl1,pl,You can search for classes and activities in your area ( external link ) through Active Scotland .,Możesz przeszukać dla klas i działań w obszarze ( zewnętrzne połączenie ) poprzez Active Szkocji .,Zajęcia w swojej okolicy można znaleźć ( link zewnętrzny ) poprzez Active Scotland .,0.16467,22,1,3,5,0,4,10,0
649,pl1,pl,A range of study designs were eligible .,Zakres badania projekty były kwalifikowalne .,Do przeglądu nadawało się wiele typów badań .,0.158279,12,1,1,4,3,3,0,1
705,pl1,pl,"Compared with placebo , corticosteroids significantly increased complete or partial clinical resolution of phimosis ( 12 studies , 1395 participants : RR 2.45 , 95 % CI 1.84 to 3.26 ) .","W porównaniu z placebo , kortykosteroidy istotnie zwiększał całkowitą lub częściową klinicznych rezolucja napletka ( 12 badaniach 1395 uczestników : RR 2,45 , 95 % CI 1,84 do 3.26 ) .","W porównaniu z placebo , kortykosteroidy istotnie zwiększały szanse częściowego lub całkowitego rozwiązania problemu stulejki ( na podstawie 12 badań z udziałem 1395 uczestników ; RR 2,45 , 95 % przedział ufności ( CI ) 1,84 @-@ 3,26 ) .",0.284337,28,1,7,0,4,1,11,5
129,pl1,pl,Balance exercise can help you to feel steadier on your feet by challenging your balance .,Saldo ćwiczenia mogą pomóc poczuć pewniejszą na nogach wyzywając równowagę .,Ćwiczenia na równowagę pomagają poczuć się pewniej na nogach .,0.178275,24,1,0,0,0,0,0,24
633,pl1,pl,Quality of life and liver decompensation were not reported in any of the trials .,Jakość życia i dekompensacji czynności wątroby nie zostały zgłoszone w żadnym z badań klinicznych .,Jakość życia i dekompensacja czynności wątroby nie były analizowane w żadnym z badań klinicznych .,0.537285,23,1,8,1,2,0,12,0
617,pl1,pl,Trial without catheter was performed after treatment with the drug for one to three days in seven trials and for eight and 32 days in two other trials respectively .,Proces bez cewnika przeprowadzono po zastosowaniu leku na okres od jednego do trzech dni w siedmiu badaniach i przez osiem dni i 32 w dwóch innych badaniach odpowiednio .,W siedmiu badaniach przeprowadzono próbę bez zastosowania cewnika po podawaniu leku przez okres jednego do trzech dni oraz przez osiem do trzydziestu dwóch dni w przypadku dwóch kolejnych badań .,0.180308,43,1,7,5,4,3,23,1
