lang,sentenceId,sys1,value1,sys2,value2
cs,76,cu-chimera,3,uedin-nmt,2
cs,76,cu-TectoMT,4,cu-chimera,4
cs,76,cu-TectoMT,3,cu-chimera,3
ro,77,QT21-HimL-SysComb,1,uedin-nmt,1
ro,77,QT21-HimL-SysComb,1,uedin-nmt,1
ro,78,QT21-HimL-SysComb,5,uedin-nmt,5
ro,78,QT21-HimL-SysComb,5,uedin-nmt,5
de,79,uedin-nmt,3,uedin-syntax,4
de,79,uedin-nmt,3,uedin-syntax,4
ro,79,uedin-nmt,3,uedin-pbmt,5
ro,79,uedin-nmt,3,uedin-pbmt,5
cs,80,cu-TectoMT,3,cu-chimera,5
cs,80,cu-TectoMT,3,cu-chimera,5
de,80,uedin-nmt,1,uedin-pbmt,1
de,80,uedin-nmt,1,uedin-syntax,1
de,80,uedin-nmt,1,uedin-pbmt,1
de,80,uedin-nmt,1,uedin-syntax,1
de,80,uedin-nmt,1,uedin-pbmt,1
de,80,uedin-nmt,1,uedin-syntax,1
de,80,uedin-nmt,1,uedin-pbmt,1
de,80,uedin-pbmt,1,uedin-syntax,1
de,80,uedin-nmt,1,uedin-pbmt,1
de,80,uedin-pbmt,1,uedin-syntax,1
de,80,uedin-nmt,1,uedin-pbmt,1
de,80,uedin-pbmt,1,uedin-syntax,1
de,80,uedin-nmt,1,uedin-syntax,1
de,80,uedin-pbmt,1,uedin-syntax,1
de,80,uedin-nmt,1,uedin-syntax,1
de,80,uedin-pbmt,1,uedin-syntax,1
de,80,uedin-nmt,1,uedin-syntax,1
de,80,uedin-pbmt,1,uedin-syntax,1
cs,81,cu-TectoMT,2,cu-chimera,1
cs,81,cu-TectoMT,3,uedin-nmt,1
cs,81,cu-TectoMT,2,uedin-nmt,1
cs,81,cu-TectoMT,3,uedin-nmt,1
cs,81,cu-TectoMT,2,uedin-nmt,1
cs,81,cu-TectoMT,2,cu-chimera,1
de,81,uedin-nmt,1,uedin-pbmt,1
de,81,uedin-nmt,1,uedin-syntax,1
de,81,uedin-nmt,1,uedin-pbmt,1
de,81,uedin-nmt,1,uedin-syntax,1
de,81,uedin-nmt,1,uedin-pbmt,1
de,81,uedin-nmt,1,uedin-syntax,1
de,81,uedin-nmt,1,uedin-pbmt,1
de,81,uedin-pbmt,1,uedin-syntax,1
de,81,uedin-nmt,1,uedin-pbmt,1
de,81,uedin-pbmt,1,uedin-syntax,1
de,81,uedin-nmt,1,uedin-pbmt,1
de,81,uedin-pbmt,1,uedin-syntax,1
de,81,uedin-nmt,1,uedin-syntax,1
de,81,uedin-pbmt,1,uedin-syntax,1
de,81,uedin-nmt,1,uedin-syntax,1
de,81,uedin-pbmt,1,uedin-syntax,1
de,81,uedin-nmt,1,uedin-syntax,1
de,81,uedin-pbmt,1,uedin-syntax,1
cs,82,cu-TectoMT,2,cu-chimera,1
cs,82,cu-chimera,1,uedin-nmt,1
cs,82,cu-chimera,1,uedin-nmt,1
cs,82,cu-TectoMT,2,cu-chimera,1
de,82,uedin-nmt,3,uedin-pbmt,1
de,82,uedin-nmt,3,uedin-syntax,1
de,82,uedin-nmt,3,uedin-pbmt,1
de,82,uedin-pbmt,1,uedin-syntax,1
de,82,uedin-nmt,3,uedin-syntax,1
de,82,uedin-pbmt,1,uedin-syntax,1
cs,83,cu-chimera,2,uedin-nmt,2
cs,83,cu-chimera,2,uedin-nmt,2
cs,83,cu-TectoMT,4,uedin-nmt,3
cs,83,cu-TectoMT,4,uedin-nmt,3
de,83,uedin-nmt,2,uedin-pbmt,1
de,83,uedin-nmt,2,uedin-pbmt,1
de,83,uedin-pbmt,2,uedin-syntax,4
de,83,uedin-pbmt,2,uedin-syntax,4
ro,83,QT21-HimL-SysComb,3,uedin-nmt,3
ro,83,QT21-HimL-SysComb,3,uedin-pbmt,2
ro,83,QT21-HimL-SysComb,3,uedin-nmt,3
ro,83,uedin-nmt,3,uedin-pbmt,2
ro,83,QT21-HimL-SysComb,3,uedin-pbmt,2
ro,83,uedin-nmt,3,uedin-pbmt,2
de,84,uedin-pbmt,1,uedin-syntax,1
de,84,uedin-pbmt,1,uedin-syntax,1
de,84,uedin-pbmt,1,uedin-syntax,1
de,84,uedin-pbmt,1,uedin-syntax,1
de,85,uedin-nmt,1,uedin-pbmt,3
de,85,uedin-nmt,3,uedin-pbmt,3
de,85,uedin-nmt,1,uedin-pbmt,3
de,85,uedin-nmt,3,uedin-pbmt,3
ro,85,uedin-nmt,1,uedin-pbmt,4
ro,85,uedin-nmt,1,uedin-pbmt,4
cs,86,cu-chimera,1,uedin-nmt,5
cs,86,cu-TectoMT,5,uedin-nmt,1
cs,86,cu-chimera,1,uedin-nmt,5
cs,86,cu-TectoMT,5,uedin-nmt,1
ro,86,QT21-HimL-SysComb,1,uedin-pbmt,1
ro,86,QT21-HimL-SysComb,1,uedin-nmt,4
ro,86,QT21-HimL-SysComb,1,uedin-pbmt,1
ro,86,QT21-HimL-SysComb,1,uedin-pbmt,1
ro,86,QT21-HimL-SysComb,1,uedin-nmt,4
ro,86,QT21-HimL-SysComb,1,uedin-pbmt,1
ro,86,QT21-HimL-SysComb,1,uedin-pbmt,1
ro,86,QT21-HimL-SysComb,1,uedin-pbmt,1
ro,87,QT21-HimL-SysComb,1,uedin-pbmt,4
ro,87,uedin-nmt,3,uedin-pbmt,1
ro,87,QT21-HimL-SysComb,1,uedin-pbmt,4
ro,87,uedin-nmt,3,uedin-pbmt,1
cs,88,cu-TectoMT,4,uedin-nmt,1
cs,88,cu-TectoMT,4,uedin-nmt,1
cs,88,cu-TectoMT,4,uedin-nmt,1
cs,88,cu-TectoMT,4,uedin-nmt,1
cs,89,cu-TectoMT,4,cu-chimera,2
cs,89,cu-TectoMT,5,cu-chimera,2
cs,89,cu-TectoMT,4,cu-chimera,2
cs,89,cu-TectoMT,4,uedin-nmt,1
cs,89,cu-TectoMT,3,uedin-nmt,1
cs,89,cu-TectoMT,5,uedin-nmt,2
cs,89,cu-TectoMT,4,uedin-nmt,1
cs,89,cu-TectoMT,4,cu-chimera,2
cs,89,cu-TectoMT,3,uedin-nmt,1
cs,89,cu-TectoMT,5,uedin-nmt,2
cs,89,cu-TectoMT,5,cu-chimera,2
cs,89,cu-TectoMT,4,cu-chimera,2
de,89,uedin-nmt,3,uedin-syntax,2
de,89,uedin-nmt,2,uedin-syntax,4
de,89,uedin-nmt,3,uedin-syntax,2
de,89,uedin-nmt,2,uedin-syntax,4
ro,89,QT21-HimL-SysComb,5,uedin-pbmt,5
ro,89,uedin-nmt,4,uedin-pbmt,5
ro,89,uedin-nmt,4,uedin-pbmt,5
ro,89,QT21-HimL-SysComb,5,uedin-pbmt,5
cs,90,cu-chimera,3,uedin-nmt,1
cs,90,cu-chimera,3,uedin-nmt,1
cs,90,cu-TectoMT,2,uedin-nmt,1
cs,90,cu-TectoMT,2,uedin-nmt,1
de,90,uedin-nmt,1,uedin-pbmt,1
de,90,uedin-nmt,1,uedin-syntax,1
de,90,uedin-nmt,1,uedin-pbmt,1
de,90,uedin-pbmt,1,uedin-syntax,1
de,90,uedin-nmt,1,uedin-syntax,1
de,90,uedin-pbmt,1,uedin-syntax,1
ro,90,QT21-HimL-SysComb,3,uedin-pbmt,2
ro,90,QT21-HimL-SysComb,3,uedin-pbmt,2
de,91,uedin-nmt,2,uedin-pbmt,3
de,91,uedin-nmt,2,uedin-pbmt,3
ro,91,QT21-HimL-SysComb,2,uedin-nmt,3
ro,91,QT21-HimL-SysComb,2,uedin-nmt,3
cs,92,cu-chimera,1,uedin-nmt,1
cs,92,cu-chimera,1,uedin-nmt,1
cs,92,cu-chimera,1,uedin-nmt,1
cs,92,cu-chimera,1,uedin-nmt,1
cs,92,cu-TectoMT,1,uedin-nmt,1
cs,92,cu-chimera,1,uedin-nmt,1
cs,92,cu-TectoMT,1,uedin-nmt,1
cs,92,cu-chimera,1,uedin-nmt,1
cs,92,cu-TectoMT,1,uedin-nmt,1
cs,92,cu-TectoMT,1,uedin-nmt,1
cs,92,cu-TectoMT,1,uedin-nmt,1
cs,92,cu-TectoMT,1,uedin-nmt,1
ro,92,QT21-HimL-SysComb,1,uedin-nmt,1
ro,92,QT21-HimL-SysComb,1,uedin-nmt,1
ro,93,QT21-HimL-SysComb,5,uedin-nmt,5
ro,93,QT21-HimL-SysComb,5,uedin-nmt,5
cs,94,cu-chimera,3,uedin-nmt,5
cs,94,cu-chimera,3,uedin-nmt,5
cs,95,cu-TectoMT,3,cu-chimera,1
cs,95,cu-TectoMT,3,cu-chimera,1
cs,96,cu-TectoMT,4,cu-chimera,2
cs,96,cu-chimera,2,uedin-nmt,1
cs,96,cu-TectoMT,4,uedin-nmt,1
cs,96,cu-chimera,2,uedin-nmt,1
cs,96,cu-TectoMT,4,cu-chimera,2
cs,96,cu-TectoMT,4,uedin-nmt,1
cs,97,cu-TectoMT,3,uedin-nmt,2
cs,97,cu-TectoMT,3,uedin-nmt,2
cs,98,cu-TectoMT,1,uedin-nmt,1
cs,98,cu-TectoMT,2,uedin-nmt,1
cs,98,cu-TectoMT,1,uedin-nmt,1
cs,98,cu-TectoMT,2,uedin-nmt,1
de,98,uedin-nmt,1,uedin-pbmt,2
de,98,uedin-nmt,1,uedin-pbmt,2
ro,98,QT21-HimL-SysComb,5,uedin-pbmt,5
ro,98,QT21-HimL-SysComb,5,uedin-pbmt,5
de,99,uedin-nmt,2,uedin-pbmt,4
de,99,uedin-nmt,2,uedin-pbmt,4
ro,99,uedin-nmt,1,uedin-pbmt,3
ro,99,uedin-nmt,1,uedin-pbmt,3
de,100,uedin-nmt,3,uedin-syntax,3
de,100,uedin-nmt,3,uedin-syntax,3
de,100,uedin-nmt,3,uedin-pbmt,1
de,100,uedin-nmt,3,uedin-syntax,3
de,100,uedin-nmt,3,uedin-pbmt,4
de,100,uedin-pbmt,1,uedin-syntax,3
de,100,uedin-nmt,3,uedin-pbmt,1
de,100,uedin-nmt,3,uedin-pbmt,4
de,100,uedin-pbmt,1,uedin-syntax,3
de,100,uedin-nmt,3,uedin-syntax,3
de,100,uedin-nmt,3,uedin-syntax,3
de,100,uedin-nmt,3,uedin-syntax,3
ro,100,QT21-HimL-SysComb,5,uedin-nmt,5
ro,100,QT21-HimL-SysComb,5,uedin-nmt,5
cs,101,cu-chimera,2,uedin-nmt,2
cs,101,cu-chimera,2,uedin-nmt,2
cs,101,cu-TectoMT,3,uedin-nmt,2
cs,101,cu-TectoMT,5,uedin-nmt,3
cs,101,cu-TectoMT,3,uedin-nmt,2
cs,101,cu-TectoMT,5,uedin-nmt,3
de,101,uedin-nmt,1,uedin-pbmt,1
de,101,uedin-nmt,1,uedin-syntax,1
de,101,uedin-nmt,1,uedin-pbmt,1
de,101,uedin-nmt,1,uedin-syntax,1
de,101,uedin-nmt,1,uedin-pbmt,1
de,101,uedin-nmt,1,uedin-syntax,1
de,101,uedin-nmt,1,uedin-pbmt,1
de,101,uedin-pbmt,1,uedin-syntax,1
de,101,uedin-nmt,1,uedin-pbmt,1
de,101,uedin-pbmt,1,uedin-syntax,1
de,101,uedin-nmt,1,uedin-pbmt,1
de,101,uedin-pbmt,1,uedin-syntax,1
de,101,uedin-nmt,1,uedin-syntax,1
de,101,uedin-pbmt,1,uedin-syntax,1
de,101,uedin-nmt,1,uedin-syntax,1
de,101,uedin-pbmt,1,uedin-syntax,1
de,101,uedin-nmt,1,uedin-syntax,1
de,101,uedin-pbmt,1,uedin-syntax,1
cs,102,cu-chimera,1,uedin-nmt,2
cs,102,cu-chimera,4,uedin-nmt,2
cs,102,cu-chimera,1,uedin-nmt,2
cs,102,cu-chimera,4,uedin-nmt,2
cs,102,cu-TectoMT,3,uedin-nmt,2
cs,102,cu-TectoMT,3,uedin-nmt,2
de,103,uedin-nmt,4,uedin-pbmt,1
de,103,uedin-nmt,4,uedin-pbmt,1
cs,104,cu-TectoMT,5,uedin-nmt,1
cs,104,cu-TectoMT,5,uedin-nmt,1
ro,104,uedin-nmt,4,uedin-pbmt,3
ro,104,uedin-nmt,4,uedin-pbmt,3
cs,105,cu-TectoMT,5,cu-chimera,2
cs,105,cu-TectoMT,3,cu-chimera,1
cs,105,cu-TectoMT,5,cu-chimera,2
cs,105,cu-TectoMT,3,cu-chimera,1
ro,105,QT21-HimL-SysComb,2,uedin-nmt,1
ro,105,QT21-HimL-SysComb,2,uedin-nmt,1
ro,106,QT21-HimL-SysComb,5,uedin-nmt,5
ro,106,uedin-nmt,5,uedin-pbmt,4
ro,106,QT21-HimL-SysComb,5,uedin-nmt,5
ro,106,uedin-nmt,5,uedin-pbmt,4
cs,107,cu-TectoMT,2,cu-chimera,1
cs,107,cu-TectoMT,2,cu-chimera,1
ro,107,QT21-HimL-SysComb,4,uedin-nmt,4
ro,107,QT21-HimL-SysComb,4,uedin-pbmt,1
ro,107,QT21-HimL-SysComb,4,uedin-nmt,4
ro,107,uedin-nmt,4,uedin-pbmt,1
ro,107,QT21-HimL-SysComb,4,uedin-pbmt,1
ro,107,uedin-nmt,4,uedin-pbmt,1
cs,108,cu-chimera,2,uedin-nmt,5
cs,108,cu-TectoMT,4,uedin-nmt,3
cs,108,cu-chimera,2,uedin-nmt,5
cs,108,cu-TectoMT,4,uedin-nmt,3
cs,109,cu-chimera,4,uedin-nmt,3
cs,109,cu-TectoMT,3,uedin-nmt,2
cs,109,cu-chimera,4,uedin-nmt,3
cs,109,cu-TectoMT,3,uedin-nmt,2
de,110,uedin-nmt,1,uedin-syntax,2
de,110,uedin-nmt,1,uedin-syntax,2
cs,111,cu-TectoMT,3,cu-chimera,1
cs,111,cu-TectoMT,3,uedin-nmt,2
cs,111,cu-TectoMT,3,uedin-nmt,2
cs,111,cu-TectoMT,3,cu-chimera,1
ro,111,QT21-HimL-SysComb,2,uedin-nmt,1
ro,111,QT21-HimL-SysComb,2,uedin-pbmt,2
ro,111,QT21-HimL-SysComb,5,uedin-nmt,3
ro,111,QT21-HimL-SysComb,2,uedin-nmt,1
ro,111,uedin-nmt,1,uedin-pbmt,2
ro,111,QT21-HimL-SysComb,5,uedin-nmt,3
ro,111,QT21-HimL-SysComb,2,uedin-pbmt,2
ro,111,uedin-nmt,1,uedin-pbmt,2
de,112,uedin-nmt,2,uedin-pbmt,3
de,112,uedin-nmt,2,uedin-pbmt,3
ro,112,QT21-HimL-SysComb,5,uedin-nmt,5
ro,112,QT21-HimL-SysComb,5,uedin-nmt,5
cs,113,cu-TectoMT,4,uedin-nmt,3
cs,113,cu-TectoMT,4,uedin-nmt,3
de,114,uedin-nmt,3,uedin-syntax,1
de,114,uedin-nmt,3,uedin-syntax,1
de,115,uedin-nmt,3,uedin-pbmt,2
de,115,uedin-nmt,3,uedin-syntax,3
de,115,uedin-nmt,3,uedin-pbmt,2
de,115,uedin-pbmt,2,uedin-syntax,3
de,115,uedin-nmt,3,uedin-syntax,3
de,115,uedin-pbmt,2,uedin-syntax,3
cs,116,cu-chimera,4,uedin-nmt,2
cs,116,cu-chimera,4,uedin-nmt,2
de,116,uedin-pbmt,4,uedin-syntax,2
de,116,uedin-pbmt,4,uedin-syntax,2
ro,116,QT21-HimL-SysComb,1,uedin-nmt,2
ro,116,QT21-HimL-SysComb,1,uedin-nmt,2
ro,117,uedin-nmt,3,uedin-pbmt,1
ro,117,uedin-nmt,3,uedin-pbmt,1
ro,118,QT21-HimL-SysComb,5,uedin-nmt,4
ro,118,QT21-HimL-SysComb,5,uedin-nmt,4
cs,119,cu-TectoMT,4,cu-chimera,3
cs,119,cu-TectoMT,4,uedin-nmt,2
cs,119,cu-TectoMT,4,uedin-nmt,2
cs,119,cu-TectoMT,4,cu-chimera,3
ro,120,QT21-HimL-SysComb,3,uedin-pbmt,4
ro,120,QT21-HimL-SysComb,3,uedin-pbmt,4
cs,121,cu-chimera,3,uedin-nmt,1
cs,121,cu-chimera,3,uedin-nmt,1
cs,121,cu-TectoMT,2,uedin-nmt,1
cs,121,cu-TectoMT,2,uedin-nmt,1
ro,122,uedin-nmt,1,uedin-pbmt,2
ro,122,uedin-nmt,1,uedin-pbmt,2
cs,123,cu-chimera,2,uedin-nmt,2
cs,123,cu-chimera,2,uedin-nmt,2
ro,123,QT21-HimL-SysComb,2,uedin-nmt,5
ro,123,QT21-HimL-SysComb,2,uedin-nmt,5
de,124,uedin-nmt,5,uedin-pbmt,1
de,124,uedin-nmt,4,uedin-syntax,2
de,124,uedin-nmt,5,uedin-pbmt,1
de,124,uedin-nmt,4,uedin-syntax,2
de,125,uedin-pbmt,3,uedin-syntax,4
de,125,uedin-pbmt,3,uedin-syntax,4
ro,125,QT21-HimL-SysComb,1,uedin-nmt,5
ro,125,QT21-HimL-SysComb,1,uedin-nmt,5
de,126,uedin-nmt,1,uedin-syntax,5
de,126,uedin-nmt,1,uedin-syntax,5
cs,127,cu-chimera,4,uedin-nmt,1
cs,127,cu-chimera,4,uedin-nmt,1
de,127,uedin-nmt,2,uedin-pbmt,4
de,127,uedin-nmt,2,uedin-pbmt,4
de,128,uedin-nmt,1,uedin-syntax,4
de,128,uedin-nmt,1,uedin-syntax,4
cs,129,cu-TectoMT,4,cu-chimera,2
cs,129,cu-TectoMT,4,cu-chimera,3
cs,129,cu-TectoMT,4,cu-chimera,2
cs,129,cu-TectoMT,4,cu-chimera,3
ro,130,uedin-nmt,2,uedin-pbmt,4
ro,130,uedin-nmt,2,uedin-pbmt,4
cs,131,cu-TectoMT,4,uedin-nmt,3
cs,131,cu-TectoMT,4,uedin-nmt,3
de,131,uedin-pbmt,5,uedin-syntax,3
de,131,uedin-pbmt,5,uedin-syntax,3
ro,132,QT21-HimL-SysComb,4,uedin-pbmt,5
ro,132,QT21-HimL-SysComb,4,uedin-pbmt,5
cs,133,cu-chimera,2,uedin-nmt,2
cs,133,cu-chimera,2,uedin-nmt,2
ro,133,QT21-HimL-SysComb,4,uedin-nmt,5
ro,133,QT21-HimL-SysComb,4,uedin-nmt,5
cs,134,cu-TectoMT,5,uedin-nmt,4
cs,134,cu-TectoMT,5,uedin-nmt,4
de,134,uedin-nmt,3,uedin-syntax,3
de,134,uedin-nmt,3,uedin-syntax,3
ro,134,uedin-nmt,5,uedin-pbmt,5
ro,134,uedin-nmt,5,uedin-pbmt,5
de,135,uedin-nmt,3,uedin-pbmt,3
de,135,uedin-nmt,3,uedin-pbmt,5
de,135,uedin-nmt,3,uedin-pbmt,3
de,135,uedin-nmt,3,uedin-pbmt,5
ro,135,QT21-HimL-SysComb,3,uedin-pbmt,5
ro,135,QT21-HimL-SysComb,3,uedin-nmt,1
ro,135,QT21-HimL-SysComb,3,uedin-nmt,1
ro,135,QT21-HimL-SysComb,3,uedin-pbmt,5
cs,136,cu-TectoMT,2,cu-chimera,1
cs,136,cu-TectoMT,2,cu-chimera,1
cs,137,cu-chimera,2,uedin-nmt,3
cs,137,cu-chimera,2,uedin-nmt,3
ro,137,QT21-HimL-SysComb,2,uedin-nmt,2
ro,137,QT21-HimL-SysComb,2,uedin-nmt,2
cs,138,cu-TectoMT,3,cu-chimera,4
cs,138,cu-TectoMT,3,cu-chimera,4
cs,139,cu-TectoMT,3,cu-chimera,2
cs,139,cu-TectoMT,3,cu-chimera,2
cs,140,cu-TectoMT,2,cu-chimera,3
cs,140,cu-chimera,3,uedin-nmt,4
cs,140,cu-chimera,3,uedin-nmt,4
cs,140,cu-TectoMT,2,uedin-nmt,4
cs,140,cu-TectoMT,2,cu-chimera,3
cs,140,cu-TectoMT,2,uedin-nmt,4
ro,140,QT21-HimL-SysComb,4,uedin-nmt,2
ro,140,QT21-HimL-SysComb,4,uedin-nmt,2
ro,141,uedin-nmt,5,uedin-pbmt,4
ro,141,uedin-nmt,5,uedin-pbmt,4
cs,142,cu-TectoMT,4,cu-chimera,1
cs,142,cu-TectoMT,4,uedin-nmt,2
cs,142,cu-TectoMT,4,uedin-nmt,2
cs,142,cu-TectoMT,4,cu-chimera,1
ro,143,QT21-HimL-SysComb,5,uedin-pbmt,5
ro,143,QT21-HimL-SysComb,5,uedin-pbmt,5
de,144,uedin-nmt,3,uedin-pbmt,3
de,144,uedin-nmt,3,uedin-pbmt,3
cs,145,cu-TectoMT,1,cu-chimera,4
cs,145,cu-TectoMT,1,cu-chimera,4
de,145,uedin-nmt,2,uedin-syntax,2
de,145,uedin-nmt,2,uedin-pbmt,1
de,145,uedin-nmt,2,uedin-pbmt,1
de,145,uedin-nmt,2,uedin-syntax,2
ro,145,QT21-HimL-SysComb,5,uedin-pbmt,5
ro,145,uedin-nmt,5,uedin-pbmt,5
ro,145,uedin-nmt,5,uedin-pbmt,5
ro,145,QT21-HimL-SysComb,5,uedin-pbmt,5
cs,146,cu-TectoMT,1,cu-chimera,3
cs,146,cu-TectoMT,1,cu-chimera,3
de,146,uedin-nmt,1,uedin-pbmt,1
de,146,uedin-nmt,1,uedin-syntax,1
de,146,uedin-nmt,1,uedin-pbmt,1
de,146,uedin-pbmt,1,uedin-syntax,1
de,146,uedin-nmt,1,uedin-syntax,1
de,146,uedin-pbmt,1,uedin-syntax,1
ro,147,uedin-nmt,2,uedin-pbmt,1
ro,147,uedin-nmt,2,uedin-pbmt,1
cs,148,cu-chimera,3,uedin-nmt,1
cs,148,cu-TectoMT,4,uedin-nmt,1
cs,148,cu-chimera,3,uedin-nmt,1
cs,148,cu-TectoMT,4,uedin-nmt,1
ro,148,QT21-HimL-SysComb,2,uedin-nmt,1
ro,148,uedin-nmt,5,uedin-pbmt,5
ro,148,QT21-HimL-SysComb,2,uedin-nmt,1
ro,148,uedin-nmt,5,uedin-pbmt,5
ro,149,QT21-HimL-SysComb,2,uedin-nmt,1
ro,149,QT21-HimL-SysComb,2,uedin-nmt,1
cs,150,cu-TectoMT,3,uedin-nmt,1
cs,150,cu-TectoMT,3,uedin-nmt,1
cs,151,cu-TectoMT,5,cu-chimera,3
cs,151,cu-TectoMT,5,uedin-nmt,1
cs,151,cu-TectoMT,5,uedin-nmt,1
cs,151,cu-TectoMT,5,uedin-nmt,1
cs,151,cu-TectoMT,5,uedin-nmt,1
cs,151,cu-TectoMT,5,cu-chimera,3
ro,152,uedin-nmt,5,uedin-pbmt,5
ro,152,uedin-nmt,5,uedin-pbmt,5
cs,153,cu-chimera,1,uedin-nmt,2
cs,153,cu-chimera,2,uedin-nmt,2
cs,153,cu-TectoMT,3,uedin-nmt,2
cs,153,cu-chimera,1,uedin-nmt,2
cs,153,cu-chimera,2,uedin-nmt,2
cs,153,cu-TectoMT,3,uedin-nmt,2
de,153,uedin-nmt,2,uedin-syntax,3
de,153,uedin-pbmt,2,uedin-syntax,2
de,153,uedin-pbmt,2,uedin-syntax,2
de,153,uedin-nmt,2,uedin-syntax,3
cs,154,cu-chimera,5,uedin-nmt,5
cs,154,cu-chimera,5,uedin-nmt,5
cs,154,cu-TectoMT,2,uedin-nmt,5
cs,154,cu-TectoMT,2,uedin-nmt,5
cs,155,cu-TectoMT,1,uedin-nmt,3
cs,155,cu-TectoMT,1,uedin-nmt,3
ro,155,QT21-HimL-SysComb,1,uedin-nmt,1
ro,155,QT21-HimL-SysComb,1,uedin-nmt,1
cs,156,cu-TectoMT,1,cu-chimera,2
cs,156,cu-TectoMT,1,cu-chimera,2
de,156,uedin-pbmt,5,uedin-syntax,2
de,156,uedin-pbmt,5,uedin-syntax,1
de,156,uedin-pbmt,5,uedin-syntax,2
de,156,uedin-pbmt,5,uedin-syntax,1
cs,157,cu-chimera,2,uedin-nmt,2
cs,157,cu-chimera,2,uedin-nmt,2
de,158,uedin-nmt,2,uedin-syntax,1
de,158,uedin-pbmt,4,uedin-syntax,1
de,158,uedin-pbmt,4,uedin-syntax,1
de,158,uedin-nmt,2,uedin-syntax,1
ro,158,QT21-HimL-SysComb,1,uedin-nmt,1
ro,158,QT21-HimL-SysComb,1,uedin-nmt,1
ro,158,QT21-HimL-SysComb,1,uedin-nmt,1
ro,158,QT21-HimL-SysComb,1,uedin-nmt,1
